,Test1,Test2,Test3,Test4,Score,label
118,4.0,2.0,3.67,5.0,14.67,1
119,4.0,4.0,4.0,5.0,17.0,1
120,3.25,3.0,3.42,4.0,13.67,1
121,3.0,3.0,2.5,5.0,13.5,1
122,3.67,2.5,1.42,4.0,11.59,0
123,2.0,3.0,0.25,4.0,9.25,0
124,3.5,3.67,2.25,4.0,13.42,1
125,2.75,3.0,2.75,4.0,12.5,0
126,3.0,1.0,2.25,4.0,10.25,1
127,2.5,0.0,1.33,4.0,7.83,0
128,3.5,3.0,1.0,3.0,10.5,0
129,0.08,2.0,1.25,4.0,7.33,0
130,0.0,2.42,1.5,3.0,6.92,0
131,1.33,1.5,1.25,3.0,7.08,0
132,4.0,4.0,3.0,3.0,14.0,1
133,1.0,4.0,0.25,5.0,10.25,0
134,4.0,2.08,2.33,5.0,13.41,1
135,1.38,2.0,3.05,5.0,11.43,1
136,3.67,4.0,4.0,3.0,14.67,1
137,3.0,2.75,3.0,4.0,12.75,1
138,3.25,4.0,2.18,4.0,13.43,1
